TrialName,Angle,TruthIn,SimIn
easy_4,4.88692190558,1,1.0
easy_4,4.95038842384,1,1.0
easy_4,5.01385494209,1,1.0
easy_4,5.07732146035,1,1.0
easy_4,5.1407879786,1,1.0
easy_4,5.20425449686,1,1.0
easy_4,5.26772101511,1,1.0
easy_4,5.33118753336,1,1.0
easy_4,5.39465405162,1,0.99
easy_4,5.45812056987,1,0.99
easy_4,5.52158708813,1,0.93
easy_4,5.58505360638,1,0.79
easy_4,5.64852012464,1,0.62
easy_4,5.71198664289,0,0.4
easy_4,5.77545316114,0,0.22
easy_4,5.8389196794,0,0.09
easy_4,5.90238619765,0,0.04
easy_4,5.96585271591,0,0.01
easy_4,6.02931923416,0,0.0
easy_4,6.09278575242,0,0.0
easy_4,6.15625227067,0,0.0
easy_4,6.21971878893,0,0.0
easy_4,6.28318530718,0,0.01
easy_5,0.0,0,0.43
easy_5,0.0634665182543,0,0.41
easy_5,0.126933036509,1,0.54
easy_5,0.190399554763,0,0.42
easy_5,0.253866073017,0,0.47
easy_5,0.317332591272,1,0.53
easy_5,0.380799109526,0,0.56
easy_5,0.44426562778,0,0.43
easy_5,0.507732146035,1,0.39
easy_5,0.571198664289,1,0.45
easy_5,0.634665182543,1,0.5
easy_5,0.698131700798,1,0.34
easy_5,0.761598219052,0,0.37
easy_5,0.825064737306,0,0.32
easy_5,0.888531255561,0,0.26
easy_5,0.951997773815,0,0.31
easy_5,1.01546429207,0,0.22
easy_5,1.07893081032,1,0.26
easy_5,1.14239732858,0,0.53
easy_5,1.20586384683,1,0.42
easy_5,1.26933036509,1,0.52
easy_5,1.33279688334,0,0.39
easy_5,1.3962634016,0,0.26
easy_5,1.45972991985,0,0.21
easy_5,1.5231964381,0,0.23
easy_5,1.58666295636,0,0.22
easy_5,1.65012947461,0,0.26
easy_5,1.71359599287,0,0.24
easy_5,1.77706251112,0,0.25
easy_5,1.84052902938,0,0.21
easy_5,1.90399554763,0,0.28
easy_5,1.96746206588,1,0.37
easy_5,2.03092858414,0,0.42
easy_5,2.09439510239,0,0.4
easy_5,2.15786162065,1,0.52
easy_5,2.2213281389,1,0.64
easy_5,2.28479465716,1,0.45
easy_5,2.34826117541,1,0.61
easy_5,2.41172769366,1,0.56
easy_5,2.47519421192,0,0.47
easy_5,2.53866073017,0,0.44
easy_5,2.60212724843,0,0.41
easy_5,2.66559376668,0,0.43
easy_5,2.72906028494,1,0.41
easy_5,2.79252680319,1,0.46
easy_5,2.85599332145,0,0.32
easy_5,2.9194598397,0,0.45
easy_5,2.98292635795,0,0.41
easy_5,3.04639287621,0,0.49
easy_5,3.10985939446,0,0.47
easy_5,3.17332591272,0,0.53
easy_5,3.23679243097,0,0.29
easy_5,3.30025894923,0,0.42
easy_5,3.36372546748,0,0.37
easy_5,3.42719198573,0,0.41
easy_5,3.49065850399,1,0.44
easy_5,3.55412502224,1,0.46
easy_5,3.6175915405,0,0.3
easy_5,3.68105805875,0,0.37
easy_5,3.74452457701,0,0.36
easy_5,3.80799109526,0,0.46
easy_5,3.87145761351,1,0.58
easy_5,3.93492413177,1,0.58
easy_5,3.99839065002,1,0.65
easy_5,4.06185716828,1,0.57
easy_5,4.12532368653,1,0.59
easy_5,4.18879020479,0,0.49
easy_5,4.25225672304,0,0.37
easy_5,4.3157232413,1,0.35
easy_5,4.37918975955,0,0.29
easy_5,4.4426562778,0,0.24
easy_5,4.50612279606,0,0.23
easy_5,4.56958931431,0,0.23
easy_5,4.63305583257,0,0.31
easy_5,4.69652235082,0,0.32
easy_5,4.75998886908,0,0.17
easy_5,4.82345538733,0,0.37
easy_5,4.88692190558,0,0.37
easy_5,4.95038842384,0,0.36
easy_5,5.01385494209,1,0.55
easy_5,5.07732146035,1,0.48
easy_5,5.1407879786,0,0.43
easy_5,5.20425449686,1,0.33
easy_5,5.26772101511,0,0.27
easy_5,5.33118753336,0,0.19
easy_5,5.39465405162,0,0.24
easy_5,5.45812056987,0,0.2
easy_5,5.52158708813,0,0.28
easy_5,5.58505360638,1,0.36
easy_5,5.64852012464,1,0.39
easy_5,5.71198664289,1,0.39
easy_5,5.77545316114,1,0.55
easy_5,5.8389196794,0,0.52
easy_5,5.90238619765,0,0.45
easy_5,5.96585271591,1,0.48
easy_5,6.02931923416,0,0.49
easy_5,6.09278575242,0,0.41
easy_5,6.15625227067,1,0.44
easy_5,6.21971878893,0,0.5
easy_5,6.28318530718,0,0.38
easy_6,0.0,1,0.97
easy_6,0.0634665182543,1,0.99
easy_6,0.126933036509,1,0.99
easy_6,0.190399554763,1,1.0
easy_6,0.253866073017,1,1.0
easy_6,0.317332591272,1,1.0
easy_6,0.380799109526,1,1.0
easy_6,0.44426562778,1,1.0
easy_6,0.507732146035,1,1.0
easy_6,0.571198664289,1,1.0
easy_6,0.634665182543,1,1.0
easy_6,0.698131700798,1,1.0
easy_6,0.761598219052,1,1.0
easy_6,0.825064737306,1,1.0
easy_6,0.888531255561,1,1.0
easy_6,0.951997773815,1,1.0
easy_6,1.01546429207,1,1.0
easy_6,1.07893081032,1,1.0
easy_6,1.14239732858,1,1.0
