"","V2","V3","V7","V8","V9","exp","sim","angle"
"59"," easy_5",1e-07,0.5,0.01,0.01,0.727272727272727,0,0.656565656566
"60"," easy_6",1e-07,0.5,0.01,0.01,0.727272727272727,0,0.434343434343
"61"," hard_1",1e-07,0.5,0.01,0.01,2.27272727272727,0,0.818181818182
"62"," hard_2",1e-07,0.5,0.01,0.01,1,0,0.818181818182
"63"," hard_3",1e-07,0.5,0.01,0.01,1.27272727272727,0,0.626262626263
"64"," hard_4",1e-07,0.5,0.01,0.01,1,0,0.9141414141415
"65"," hard_5",1e-07,0.5,0.01,0.01,2,0,0.343434343434
"66"," hard_6",1e-07,0.5,0.01,0.01,2.6,0,0.434343434343
"67"," moderate_1",1e-07,0.5,0.01,0.01,0.5,0,0.494949494949
"68"," moderate_2",1e-07,0.5,0.01,0.01,0.181818181818182,0,0.494949494949
"69"," moderate_3",1e-07,0.5,0.01,0.01,0.4,0,0
"70"," moderate_4",1e-07,0.5,0.01,0.01,0.4,0,0.494949494949
"71"," moderate_5",1e-07,0.5,0.01,0.01,0.4,0,0
"72"," moderate_6",1e-07,0.5,0.01,0.01,0.454545454545455,0,0.494949494949
"73"," easy_1",1e-07,0.5,0.01,0.01,0.454545454545455,0,0
"74"," easy_2",1e-07,0.5,0.01,0.01,0.454545454545455,0,0.494949494949
"75"," easy_3",1e-07,0.5,0.01,0.01,0.5,0,0.494949494949
"76"," easy_4",1e-07,0.5,0.01,0.01,1.1,0,0.313131313131
"77"," easy_5",1e-07,0.5,0.01,0.01,0.454545454545455,0,0.494949494949
"78"," easy_6",1e-07,0.5,0.01,0.01,0.454545454545455,0,0.494949494949
"79"," hard_1",1e-07,0.5,0.01,0.01,1.72727272727273,0,0.818181818182
"80"," hard_2",1e-07,0.5,0.01,0.01,1.18181818181818,0,0.818181818182
"81"," hard_3",1e-07,0.5,0.01,0.01,1.27272727272727,0,0.626262626263
"82"," hard_4",1e-07,0.5,0.01,0.01,1.2,0,0.929292929293
"83"," hard_5",1e-07,0.5,0.01,0.01,2.18181818181818,0,0.343434343434
"84"," hard_6",1e-07,0.5,0.01,0.01,2,0,0.444444444444
"85"," moderate_1",1e-07,0.5,0.01,0.01,0.7,0,0.540404040404
"86"," moderate_2",1e-07,0.5,0.01,0.01,0.363636363636364,0,0.494949494949
"87"," moderate_3",1e-07,0.5,0.01,0.01,0.5,0,0.020202020202
"88"," moderate_4",1e-07,0.5,0.01,0.01,0.4,0,0.494949494949
"89"," moderate_5",1e-07,0.5,0.01,0.01,0.4,0,0
"90"," moderate_6",1e-07,0.5,0.01,0.01,0.545454545454545,0,0.444444444444
