"TrialName","WID","ExpCostCondition","TimeCostCondition","Accurate","ShotAngle","ScoreEarned","NumExperiments","PlayTime","ShotTime","ScoreRemaining","WasIntro","TrialOrder","TimedOutShot","ScoreOut","FocusLost","ExpCost","ReconstructedTime","GuessPct"
"easy_3","worker_63","Costly",6,"True",-0.574150675713,88,0,2198,2760,88,"False",1,"False","False","False",20,2,0.38
"easy_3","worker_59","Cheap",6,"True",-0.38913305024,86,0,2542,1150,86,"False",9,"False","False","False",10,2.33333333333333,0.38
"easy_3","worker_47","Cheap",6,"True",-0.599443237662,85,0,2625,1562,85,"False",5,"False","False","False",10,2.5,0.38
"easy_3","worker_4","Costly",6,"True",-0.725865943322,94,0,1117,1856,94,"False",0,"False","False","False",20,1,0.38
"easy_3","worker_62","Cheap",6,"True",-0.731396663021,93,0,4594,1532,93,"False",13,"False","False","False",10,1.16666666666667,0.38
"easy_3","worker_15","Costly",6,"True",-0.781507132451,92,0,1424,972,92,"False",2,"False","False","False",20,1.33333333333333,0.38
"easy_3","worker_11","Cheap",6,"True",-0.63502673539,76,0,4103,1494,76,"False",13,"False","False","False",10,4,0.38
"easy_3","worker_0","Cheap",6,"True",-0.500739963551,4,8,9930,1596,4,"False",4,"False","False","False",10,2.66666666666667,0.38
"easy_3","worker_60","Cheap",6,"False",-0.164763469421,-10,1,5368,1263,76,"False",15,"False","False","False",10,2.33333333333333,0.38
"easy_3","worker_12","Cheap",6,"False",-0.463647609001,-10,0,181,1780,100,"False",11,"False","False","False",10,0,0.38
"easy_3","worker_1","Costly",6,"True",-0.766995333163,95,0,903,1765,95,"False",16,"False","False","False",20,0.833333333333333,0.38
"easy_3","worker_57","Costly",6,"True",-0.591189843751,95,0,924,1191,95,"False",4,"False","False","False",20,0.833333333333333,0.38
"easy_3","worker_14","Cheap",6,"True",-0.604022594765,93,0,4258,1353,93,"False",10,"False","False","False",10,1.16666666666667,0.38
"easy_3","worker_43","Cheap",6,"True",-0.720355939434,57,2,6476,1433,57,"False",16,"False","False","False",10,3.83333333333333,0.38
"easy_3","worker_68","Cheap",6,"False",-0.431050463883,-10,0,2551,1084,86,"False",8,"False","False","False",10,2.33333333333333,0.38
"easy_3","worker_53","Cheap",6,"True",-0.339039897755,93,0,1377,1031,93,"False",5,"False","False","False",10,1.16666666666667,0.38
"easy_3","worker_22","Cheap",6,"True",-0.654370245971,93,0,1356,2528,93,"False",16,"False","False","False",10,1.16666666666667,0.38
"easy_3","worker_16","Cheap",6,"False",-0.409320455294,-10,0,7730,2275,89,"False",1,"False","False","False",10,1.83333333333333,0.38
"easy_3","worker_24","Costly",6,"False",-0.436429817337,-10,0,1903,1280,90,"False",12,"False","False","False",20,1.66666666666667,0.38
"easy_3","worker_31","Costly",6,"False",-0.248874747309,-10,0,6757,2203,92,"False",7,"False","False","False",20,1.33333333333333,0.38
"easy_3","worker_55","Cheap",6,"True",-0.682513018308,87,0,2619,1530,87,"False",15,"False","False","False",10,2.16666666666667,0.38
"easy_3","worker_3","Costly",6,"False",-0.932476518786,-10,0,2134,1438,88,"False",17,"False","False","False",20,2,0.38
"easy_3","worker_23","Costly",6,"False",2.10112874485,-10,0,956,1232,95,"False",14,"False","False","False",20,0.833333333333333,0.38
"easy_3","worker_46","Costly",6,"False",-0.490797485686,-10,0,336,2206,99,"False",17,"False","False","False",20,0.166666666666667,0.38
"easy_3","worker_56","Cheap",6,"False",-0.941758377745,-10,1,2827,724,80,"False",14,"False","False","False",10,1.66666666666667,0.38
"easy_3","worker_26","Cheap",6,"True",-0.876776441279,74,1,3579,1149,74,"False",3,"False","False","False",10,2.66666666666667,0.38
"easy_4","worker_43","Cheap",6,"True",-1.12250259754,91,0,1609,1926,91,"False",15,"False","False","False",10,1.5,0.39
"easy_4","worker_7","Costly",6,"True",-1.2442148921,28,2,6466,958,28,"False",11,"False","False","False",20,5.33333333333333,0.39
"easy_4","worker_44","Costly",6,"True",-1.38577126991,96,0,764,958,96,"False",8,"False","False","False",20,0.666666666666667,0.39
"easy_4","worker_10","Costly",6,"True",-1.30203622128,92,0,1465,1640,92,"False",11,"False","False","False",20,1.33333333333333,0.39
"easy_4","worker_25","Cheap",6,"True",-1.41003358617,96,0,850,1230,96,"False",9,"False","False","False",10,0.666666666666667,0.39
"easy_4","worker_17","Costly",6,"True",-1.44644133225,91,0,1676,1154,91,"False",16,"False","False","False",20,1.5,0.39
"easy_4","worker_61","Costly",6,"True",-1.33072559972,85,0,2646,881,85,"False",6,"False","False","False",20,2.5,0.39
"easy_4","worker_45","Cheap",6,"True",-1.43393278673,96,0,833,627,96,"False",16,"False","False","False",10,0.666666666666667,0.39
"easy_4","worker_11","Cheap",6,"True",-1.26694667338,95,0,998,578,95,"False",10,"False","False","False",10,0.833333333333333,0.39
"easy_4","worker_14","Cheap",6,"True",-1.36699880575,93,0,4932,1475,93,"False",15,"False","False","False",10,1.16666666666667,0.39
"easy_4","worker_27","Costly",6,"True",-1.34926752218,92,0,1539,1603,92,"False",11,"False","False","False",20,1.33333333333333,0.39
"easy_4","worker_20","Cheap",6,"True",-0.817645045833,84,0,2787,2518,84,"False",14,"False","False","False",10,2.66666666666667,0.39
"easy_4","worker_3","Costly",6,"True",-1.13965758608,90,0,4534,1180,90,"False",15,"False","False","False",20,1.66666666666667,0.39
"easy_4","worker_52","Costly",6,"True",-1.42889927219,90,0,1895,1203,90,"False",0,"False","False","False",20,1.66666666666667,0.39
"easy_4","worker_68","Cheap",6,"True",-1.07297399418,71,1,3808,777,71,"False",6,"False","False","False",10,3.16666666666667,0.39
"easy_4","worker_23","Costly",6,"True",-1.47450413868,94,0,1164,1363,94,"False",7,"False","False","False",20,1,0.39
"easy_4","worker_28","Cheap",6,"True",-1.24006013491,95,0,4229,2026,95,"False",15,"False","False","False",10,0.833333333333333,0.39
"easy_4","worker_31","Costly",6,"True",-1.33026207885,24,2,11068,1895,24,"False",2,"False","False","False",20,6,0.39
"easy_4","worker_16","Cheap",6,"True",-1.41964027753,95,0,3472,917,95,"False",14,"False","False","False",10,0.833333333333333,0.39
"easy_4","worker_67","Costly",6,"True",-1.64498424449,92,0,1530,2181,92,"False",16,"False","False","False",20,1.33333333333333,0.39
"easy_4","worker_15","Costly",6,"True",-1.32805981238,94,0,1189,902,94,"False",7,"False","False","False",20,1,0.39
"easy_4","worker_62","Cheap",6,"True",-1.40464060038,95,0,942,616,95,"False",10,"False","False","False",10,0.833333333333333,0.39
"easy_4","worker_8","Cheap",6,"True",-1.42994420389,89,0,2054,1764,89,"False",4,"False","False","False",10,1.83333333333333,0.39
"easy_4","worker_55","Cheap",6,"True",-1.45383258573,76,1,3828,1775,76,"False",0,"False","False","False",10,2.33333333333333,0.39
"easy_4","worker_2","Cheap",6,"True",-1.36115648092,96,0,853,1455,96,"False",12,"False","False","False",10,0.666666666666667,0.39
"easy_4","worker_24","Costly",6,"True",-1.14972090228,90,0,1838,1088,90,"False",7,"False","False","False",20,1.66666666666667,0.39
"easy_4","worker_53","Cheap",6,"True",-1.50584715783,96,0,848,1750,96,"False",2,"False","False","False",10,0.666666666666667,0.39
"easy_4","worker_63","Costly",6,"True",-1.42359300265,93,0,1330,1048,93,"False",11,"False","False","False",20,1.16666666666667,0.39
"easy_4","worker_46","Costly",6,"True",-1.26525295079,95,0,2413,435,95,"False",6,"False","False","False",20,0.833333333333333,0.39
"easy_4","worker_59","Cheap",6,"True",-1.59412542694,58,1,5937,1188,58,"False",7,"False","False","False",10,5.33333333333333,0.39
"easy_4","worker_57","Costly",6,"True",-1.70711377408,97,0,629,911,97,"False",13,"False","False","False",20,0.5,0.39
"easy_4","worker_51","Costly",6,"True",-1.46213511095,92,0,1482,1592,92,"False",5,"False","False","False",20,1.33333333333333,0.39
"easy_4","worker_50","Cheap",6,"True",-1.42448103879,95,0,1020,863,95,"False",11,"False","False","False",10,0.833333333333333,0.39
"easy_4","worker_18","Cheap",6,"True",-1.40681450999,92,0,1531,776,92,"False",8,"False","False","False",10,1.33333333333333,0.39
"easy_4","worker_22","Cheap",6,"True",-1.57079632679,92,0,1532,1999,92,"False",11,"False","False","False",10,1.33333333333333,0.39
"easy_4","worker_1","Costly",6,"True",-1.41579958487,96,0,751,1341,96,"False",13,"False","False","False",20,0.666666666666667,0.39
"easy_4","worker_56","Cheap",6,"True",-1.67201176846,74,1,3338,625,74,"False",12,"False","False","False",10,2.66666666666667,0.39
"easy_4","worker_13","Costly",6,"True",-1.48596643428,86,0,2587,1062,86,"False",9,"False","False","False",20,2.33333333333333,0.39
"easy_4","worker_21","Costly",6,"True",-0.937090096202,67,1,2702,1370,67,"False",1,"False","False","False",20,2.16666666666667,0.39
